AccountCode,ClientCode,ClientMasterAccount,ClientSubAccount,LegalEntity
473279H,N/A,N/A,N/A,SFL
472781P,SFL_GBR,SFL_GBR,SFL_GBR,SFL
472782Q,VELES_CYP,VELES_CYP,VELES_CYP,SFL
472783J,CURCAP_CYM,CURCAP_CYM,CURCAP_CYM,SFL
472785R,,VALETA_MLT,VALETA_MLT,SFL
472784K,SMART_CYM,SMART_CYM,SMART_CYM,SFL
472788V,R40_USA,R40_USA,R40_USA,SFL
472791J,ACCENT_CYM,ACCENT_CYM,ACCENT_CYM,SFL
472792K,R40T1LLC_USA,R40T1LLC_USA,R40T1LLC_USA,SFL
472790Z,HILB_GBR,HILB_GBR,HILB_GBR,SFL
472794L,BLUEHO_GBR,BLUEHO_GBR,BLUEHO_GBR,SFL
472795M,BTRUST_GBR,BTRUST_GBR,BTRUST_GBR,SFL
472797N,ZEAKAP_CYM,ZEAKAP_CYM,ZEAKAP_CYM,SFL
472798X,APCAP_CYM,APCAP_CYM,APCAP_CYM,SFL
472793R,VALOR_BHR,VALOR_BHR,VALOR_BHR,SFL
472796Q,TBILL_VGB,TBILL_VGB,TBILL_VGB,SFL
472803N,KOSOVO_KOS,KOSOVO_KOS,KOSOVO_KOS,SFL
472823C,AVANPO_VGB,AVANPO_VGB,AVANPO_VGB,SFL
472824D,ALPHEM_CYM,ALPHEM_CYM,ALPHEM_CYM,SFL
472799Y,BLKST_GHA,BLKST_GHA,BLKST_GHA,SFL
472800W,DIGIT_BMU,DIGIT_BMU,DIGIT_BMU,SFL
472801L,ENHAN_USA,ENHAN_USA,ENHAN_USA,SFL
472802M,HBLNOM_GBR,HBLNOM_GBR,HBLNOM_GBR,SFL
472804P,WINGTH_CYP,WINGTH_CYP,WINGTH_CYP,SFL
472805Q,GLOFIN_IRL,GLOFIN_IRL,GLOFIN_IRL,SFL
472806R,PARTF_IRL,PARTF_IRL,PARTF_IRL,SFL
472807J,ALS_IRL,ALS_IRL,ALS_IRL,SFL
472808T,EXCELL_CZE,EXCELL_CZE,EXCELL_CZE,SFL
472811F,EPIMET_CYM,EPIMET_CYM,EPIMET_CYM,SFL
